Rk,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conf. W,Conf. L,Home W,Home L,Home W-L%,Away W,Away L,Away W-L%,Points Tm.,Points Opp.,Column1,School Totals MP,School Totals FG,School Totals FGA,School Totals FG%,School Totals 3P,School Totals 3PA,School Totals 3P%,School Totals FT,School Totals FTA,School Totals FT%,School Totals ORB,School Totals TRB,School Totals AST,School Totals STL,School Totals BLK,School Totals TOV,School Totals PF
140,Kansas State,33,22,11,0.667,13.44,8.95,10,8,14,3,0.823529412,6,5,0.545454545,2388,2240,,1325,854,1809,0.472,229,665,0.344,451,608,0.742,269,1010,473,256,99,379,607
141,Kansas,34,27,7,0.794,22.01,11.45,13,5,14,3,0.823529412,8,3,0.727272727,2771,2412,,1360,1024,2058,0.498,345,857,0.403,378,539,0.701,325,1197,578,225,142,397,519
142,Kennesaw State,30,10,20,0.333,-11.02,-4.17,6,8,8,6,0.571428571,2,14,0.125,2182,2328,,1205,805,1768,0.455,160,438,0.365,412,597,0.69,306,986,442,214,94,407,539
143,Kent State,34,17,17,0.5,-3.6,-1.63,9,9,13,3,0.8125,2,11,0.153846154,2482,2502,,1370,871,2046,0.426,255,782,0.326,485,666,0.728,390,1221,393,201,122,442,638
144,Kentucky,34,24,10,0.706,17.6,11.16,10,8,16,2,0.888888889,4,6,0.4,2609,2390,,1365,920,1958,0.47,185,513,0.361,584,838,0.697,411,1315,455,191,166,442,642
145,La Salle,32,13,19,0.406,1.88,2.73,7,11,10,4,0.714285714,2,10,0.166666667,2333,2360,,1315,817,1906,0.429,234,711,0.329,465,591,0.787,292,1124,410,189,90,374,546
146,Lafayette,31,10,21,0.323,-9.69,-5.96,7,11,8,6,0.571428571,2,14,0.125,2207,2307,,1245,777,1709,0.455,263,708,0.371,390,507,0.769,210,1026,386,131,103,411,515
147,Lamar,32,19,13,0.594,-4.82,-7.18,11,7,11,4,0.733333333,8,6,0.571428571,2431,2220,,1300,847,1959,0.432,249,725,0.343,488,739,0.66,414,1204,442,280,75,420,628
148,Lehigh,30,16,14,0.533,-6.18,-5.42,11,7,9,6,0.6,7,8,0.466666667,2336,2333,,1230,835,1845,0.453,293,721,0.406,373,480,0.777,269,1074,428,184,53,380,553
149,Liberty,34,20,14,0.588,-2.73,-6.31,9,9,11,6,0.647058824,7,6,0.538461538,2421,2163,,1390,826,1780,0.464,275,735,0.374,494,624,0.792,249,1138,476,204,84,411,574
150,Lipscomb,32,23,9,0.719,-2.03,-4.41,10,4,13,2,0.866666667,10,7,0.588235294,2642,2480,,1300,901,1976,0.456,260,785,0.331,580,811,0.715,340,1247,503,207,100,480,638
151,Long Beach State,33,15,18,0.455,-3.33,1.31,9,7,8,5,0.615384615,6,10,0.375,2485,2586,,1330,866,1917,0.452,196,558,0.351,557,765,0.728,382,1195,419,218,119,501,592
