Rk,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conf. W,Conf. L,Home W,Home L,Home W-L%,Away W,Away L,Away W-L%,Points Tm.,Points Opp.,Column1,School Totals MP,School Totals FG,School Totals FGA,School Totals FG%,School Totals 3P,School Totals 3PA,School Totals 3P%,School Totals FT,School Totals FTA,School Totals FT%,School Totals ORB,School Totals TRB,School Totals AST,School Totals STL,School Totals BLK,School Totals TOV,School Totals PF
329,VMI,30,9,21,0.3,-15.21,-4.03,4,14,6,8,0.428571429,3,12,0.2,1954,2214,,1200,688,1729,0.398,225,704,0.32,353,477,0.74,283,1028,355,221,87,442,539
330,Virginia Tech,32,21,11,0.656,14.88,6.91,10,8,14,4,0.777777778,6,5,0.545454545,2551,2296,,1295,901,1811,0.498,280,727,0.385,469,661,0.71,236,1056,528,184,73,381,502
331,Virginia,33,31,2,0.939,23.84,9.69,17,1,16,1,0.941176471,10,1,0.909090909,2229,1762,,1325,825,1788,0.461,243,623,0.39,336,443,0.758,277,1077,453,224,123,283,464
332,Wagner,32,23,9,0.719,-2.66,-7.2,14,4,16,1,0.941176471,7,8,0.466666667,2389,2176,,1285,818,1891,0.433,263,739,0.356,490,690,0.71,426,1251,431,211,128,438,710
333,Wake Forest,31,11,20,0.355,8.02,9.05,4,14,7,9,0.4375,3,8,0.272727273,2273,2305,,1240,801,1826,0.439,241,644,0.374,430,583,0.738,337,1108,432,181,109,407,604
334,Washington State,31,12,19,0.387,1.01,5.56,4,14,8,8,0.5,1,10,0.090909091,2270,2411,,1250,801,1795,0.446,341,905,0.377,327,444,0.736,258,1009,450,163,71,421,532
335,Washington,32,20,12,0.625,7.85,6.13,10,8,15,4,0.789473684,4,5,0.444444444,2377,2322,,1295,841,1848,0.455,213,624,0.341,482,685,0.704,313,1059,371,255,162,428,600
336,Weber State,31,20,11,0.645,0.23,-2.67,13,5,12,3,0.8,7,4,0.636363636,2434,2195,,1255,846,1723,0.491,280,673,0.416,462,602,0.767,182,1040,430,161,120,368,551
337,West Virginia,34,24,10,0.706,20.17,9.55,11,7,14,3,0.823529412,5,5,0.5,2707,2346,,1365,944,2176,0.434,299,847,0.353,520,679,0.766,476,1289,512,273,179,385,725
338,Western Carolina,32,13,19,0.406,-11.68,-1.41,8,10,8,5,0.615384615,3,12,0.2,2190,2419,,1280,774,1885,0.411,234,703,0.333,408,597,0.683,371,1101,427,254,92,476,561
339,Western Illinois,28,12,16,0.429,-10.75,-1.96,3,11,11,5,0.6875,1,10,0.090909091,2012,2009,,1135,749,1607,0.466,188,527,0.357,326,456,0.715,196,990,308,136,109,350,432
340,Western Kentucky,34,24,10,0.706,10.03,2.42,14,4,13,3,0.8125,7,5,0.583333333,2665,2384,,1365,959,1944,0.493,185,521,0.355,562,792,0.71,330,1213,459,248,124,402,494
341,Western Michigan,32,17,15,0.531,-2.08,-1.84,9,9,10,6,0.625,6,7,0.461538462,2402,2349,,1285,845,1926,0.439,233,678,0.344,479,659,0.727,356,1130,405,209,100,342,559
342,Wichita State,32,25,7,0.781,17.53,5.87,14,4,13,3,0.8125,9,2,0.818181818,2656,2283,,1290,930,1944,0.478,292,758,0.385,504,683,0.738,389,1291,593,150,126,370,562
343,William & Mary,31,19,12,0.613,-1.3,-1.27,11,7,11,3,0.785714286,7,8,0.466666667,2636,2531,,1255,910,1782,0.511,337,777,0.434,479,591,0.81,209,1017,548,174,125,382,530
344,Winthrop,31,19,12,0.613,-1.61,-5.82,12,6,11,3,0.785714286,7,9,0.4375,2464,2219,,1240,859,1801,0.477,296,790,0.375,450,623,0.722,281,1124,455,211,144,429,539
345,Wisconsin,33,15,18,0.455,10.71,9.83,7,11,11,7,0.611111111,3,8,0.272727273,2206,2177,,1325,793,1770,0.448,216,644,0.335,404,578,0.699,299,1010,411,180,117,353,543
346,Wofford,33,21,12,0.636,-0.56,-2.23,11,7,12,4,0.75,7,7,0.5,2484,2307,,1320,867,1843,0.47,342,834,0.41,408,522,0.782,263,1067,497,216,86,404,568
347,Wright State,34,25,9,0.735,0.74,-4.42,14,4,14,2,0.875,8,7,0.533333333,2453,2234,,1370,854,1959,0.436,233,682,0.342,512,714,0.717,346,1235,451,226,75,446,541
348,Wyoming,33,20,13,0.606,4.54,3.82,10,8,13,4,0.764705882,5,7,0.416666667,2633,2597,,1365,873,1959,0.446,304,881,0.345,583,790,0.738,231,1148,518,215,130,449,654
349,Xavier,33,28,5,0.848,19.63,9.84,15,3,17,1,0.944444444,9,2,0.818181818,2781,2458,,1335,953,1942,0.491,258,699,0.369,617,781,0.79,322,1267,549,193,97,410,558
350,Yale,31,16,15,0.516,-3.99,-2.62,9,5,9,3,0.75,7,11,0.388888889,2312,2288,,1250,831,1796,0.463,252,762,0.331,398,551,0.722,275,1052,507,204,95,407,541
351,Youngstown State,32,8,24,0.25,-13.7,-2.6,6,12,6,6,0.5,2,13,0.133333333,2410,2647,,1290,902,2110,0.427,235,712,0.33,371,583,0.636,457,1159,445,266,126,460,672
